CAPA_ID,Dev_ID,Batch_ID,Product,Production_Line,CAPA_Open_Date,Month_Year,CAPA_Type,Corrective_Action,Preventive_Action,Responsible_Person,Target_Closure_Date,Actual_Closure_Date,TAT_Days,Target_TAT_Days,On_Time,Effectiveness,Verified_By,Status
CAPA-0011,DEV-0012,BCH-2024-0994,Okra Chips,Line D,2026-06-16 00:00:00,Jun-2026,Immediate Corrective Action,Analyst retrained on SOP; competency assessment passed,SOP revised with mandatory double-check; training matrix updated for all QC staff,Anand M.,2026-06-30 00:00:00,2026-07-01 00:00:00,15,14,No,Effective,Karthik V.,Closed
CAPA-0012,DEV-0013,BCH-2022-0002,Okra Chips,Line B,2022-01-06 00:00:00,Jan-2022,Root Cause Elimination,Process parameter adjusted; 3 consecutive conforming batches verified,SPC chart implemented for this parameter; daily trending review added,Sagar A.,2022-02-05 00:00:00,2022-02-07 00:00:00,32,30,No,Effective,Meena R.,Closed
CAPA-0013,DEV-0014,BCH-2023-0778,Okra Chips,Line D,2025-07-08 00:00:00,Jul-2025,Preventive Action,Supplier notified; incoming lot quarantined; alternative lot sourced,Enhanced environmental monitoring — daily swabs for 30 days post-event,Divya N.,2025-07-15 00:00:00,2025-07-26 00:00:00,18,7,No,Effective,Suresh B.,Closed
CAPA-0014,DEV-0015,BCH-2024-1006,Sweet Potato Chips,Line D,2026-07-09 00:00:00,Jul-2026,Process Improvement,Immediate deep clean conducted; re-swab showed satisfactory result,Training refresher scheduled for all shifts; competency re-assessment within 30 days,Karthik V.,2026-07-23 00:00:00,2026-07-21 00:00:00,12,14,Yes,Partially Effective,Ramesh K.,Closed
CAPA-0015,DEV-0016,BCH-2023-0495,Masala Peanuts,Line C,2024-03-04 00:00:00,Mar-2024,Supplier Development Action,BMR template revised; mandatory dual-sign-off added for critical entries,HACCP plan reviewed; critical limit tightened by 10%; new alert limit introduced,Meena R.,2024-03-11 00:00:00,2024-03-14 00:00:00,10,7,No,Pending Verification,Priya S.,Open
CAPA-0016,DEV-0017,BCH-2023-0660,Chickpea Snacks,Line F,2024-12-25 00:00:00,Dec-2024,Immediate Corrective Action,PM schedule updated; overdue maintenance completed within 24 hours,Equipment replaced with newer model; IQ/OQ/PQ validation completed,Suresh B.,2025-01-01 00:00:00,2025-01-05 00:00:00,11,7,No,Effective,Anand M.,Closed
CAPA-0017,DEV-0019,BCH-2023-0632,Tapioca Crisps,Line B,2024-10-26 00:00:00,Oct-2024,Root Cause Elimination,Batch placed on hold; re-test on retained sample; released after confirmation,Supplier qualification review; monthly CoA audit added to incoming QC protocol,Ramesh K.,2024-11-09 00:00:00,2024-11-16 00:00:00,21,14,No,Effective,Sagar A.,Closed
CAPA-0018,DEV-0020,BCH-2022-0349,Banana Chips,Line A,2023-07-30 00:00:00,Jul-2023,Preventive Action,Equipment recalibrated; verification run conducted before resuming production,Preventive maintenance frequency increased from semi-annual to quarterly,Priya S.,2023-08-06 00:00:00,2023-08-07 00:00:00,8,7,No,Effective,Divya N.,Closed
CAPA-0019,DEV-0022,BCH-2022-0322,Okra Chips,Line D,2023-06-18 00:00:00,Jun-2023,Process Improvement,Analyst retrained on SOP; competency assessment passed,SOP revised with mandatory double-check; training matrix updated for all QC staff,Anand M.,2023-07-02 00:00:00,2023-07-11 00:00:00,23,14,No,Partially Effective,Karthik V.,Closed
CAPA-0020,DEV-0023,BCH-2022-0120,Tapioca Crisps,Line F,2022-07-10 00:00:00,Jul-2022,Supplier Development Action,Process parameter adjusted; 3 consecutive conforming batches verified,SPC chart implemented for this parameter; daily trending review added,Sagar A.,2022-07-24 00:00:00,2022-07-21 00:00:00,11,14,Yes,Pending Verification,Meena R.,Open
CAPA-0021,DEV-0024,BCH-2023-0697,Jackfruit Chips,Line A,2025-02-18 00:00:00,Feb-2025,Immediate Corrective Action,Supplier notified; incoming lot quarantined; alternative lot sourced,Enhanced environmental monitoring — daily swabs for 30 days post-event,Divya N.,2025-03-04 00:00:00,2025-02-27 00:00:00,9,14,Yes,Effective,Suresh B.,Closed
CAPA-0022,DEV-0026,BCH-2022-0034,Okra Chips,Line D,2022-03-07 00:00:00,Mar-2022,Root Cause Elimination,Immediate deep clean conducted; re-swab showed satisfactory result,Training refresher scheduled for all shifts; competency re-assessment within 30 days,Karthik V.,2022-03-14 00:00:00,2022-03-25 00:00:00,18,7,No,Effective,Ramesh K.,Closed
CAPA-0023,DEV-0027,BCH-2022-0027,Roasted Corn,Line C,2022-02-27 00:00:00,Feb-2022,Preventive Action,BMR template revised; mandatory dual-sign-off added for critical entries,HACCP plan reviewed; critical limit tightened by 10%; new alert limit introduced,Meena R.,2022-03-13 00:00:00,2022-03-18 00:00:00,19,14,No,Effective,Priya S.,Closed
CAPA-0024,DEV-0028,BCH-2024-1150,Sweet Potato Chips,Line D,2027-03-27 00:00:00,Mar-2027,Process Improvement,PM schedule updated; overdue maintenance completed within 24 hours,Equipment replaced with newer model; IQ/OQ/PQ validation completed,Suresh B.,2027-04-10 00:00:00,2027-04-10 00:00:00,14,14,Yes,Partially Effective,Anand M.,Closed
CAPA-0025,DEV-0029,BCH-2022-0007,Masala Peanuts,Line A,2022-01-15 00:00:00,Jan-2022,Supplier Development Action,Batch placed on hold; re-test on retained sample; released after confirmation,Supplier qualification review; monthly CoA audit added to incoming QC protocol,Ramesh K.,2022-02-14 00:00:00,2022-02-10 00:00:00,26,30,Yes,Pending Verification,Sagar A.,Open
CAPA-0026,DEV-0030,BCH-2022-0070,Sweet Potato Chips,Line D,2022-05-02 00:00:00,Apr-2022,Immediate Corrective Action,Equipment recalibrated; verification run conducted before resuming production,Preventive maintenance frequency increased from semi-annual to quarterly,Priya S.,2022-05-09 00:00:00,2022-05-07 00:00:00,5,7,Yes,Effective,Divya N.,Closed
CAPA-0027,DEV-0031,BCH-2024-0898,Okra Chips,Line D,2026-01-19 00:00:00,Jan-2026,Root Cause Elimination,Analyst retrained on SOP; competency assessment passed,SOP revised with mandatory double-check; training matrix updated for all QC staff,Anand M.,2026-01-26 00:00:00,2026-01-24 00:00:00,5,7,Yes,Effective,Karthik V.,Closed
CAPA-0028,DEV-0032,BCH-2024-1033,Jackfruit Chips,Line A,2026-09-04 00:00:00,Sep-2026,Preventive Action,Process parameter adjusted; 3 consecutive conforming batches verified,SPC chart implemented for this parameter; daily trending review added,Sagar A.,2026-09-18 00:00:00,2026-09-18 00:00:00,14,14,Yes,Effective,Meena R.,Closed
CAPA-0029,DEV-0033,BCH-2024-1199,Masala Peanuts,Line E,2027-06-24 00:00:00,Jun-2027,Process Improvement,Supplier notified; incoming lot quarantined; alternative lot sourced,Enhanced environmental monitoring — daily swabs for 30 days post-event,Divya N.,2027-07-08 00:00:00,2027-07-06 00:00:00,12,14,Yes,Partially Effective,Suresh B.,Closed
CAPA-0030,DEV-0034,BCH-2023-0619,Roasted Corn,Line A,2024-10-08 00:00:00,Oct-2024,Supplier Development Action,Immediate deep clean conducted; re-swab showed satisfactory result,Training refresher scheduled for all shifts; competency re-assessment within 30 days,Karthik V.,2024-10-15 00:00:00,2024-10-10 00:00:00,2,7,Yes,Pending Verification,Ramesh K.,Open
CAPA-0031,DEV-0035,BCH-2022-0012,Chickpea Snacks,Line F,2022-01-21 00:00:00,Jan-2022,Immediate Corrective Action,BMR template revised; mandatory dual-sign-off added for critical entries,HACCP plan reviewed; critical limit tightened by 10%; new alert limit introduced,Meena R.,2022-02-04 00:00:00,2022-02-02 00:00:00,12,14,Yes,Effective,Priya S.,Closed
CAPA-0032,DEV-0036,BCH-2022-0182,Sweet Potato Chips,Line B,2022-10-23 00:00:00,Oct-2022,Root Cause Elimination,PM schedule updated; overdue maintenance completed within 24 hours,Equipment replaced with newer model; IQ/OQ/PQ validation completed,Suresh B.,2022-11-06 00:00:00,2022-11-01 00:00:00,9,14,Yes,Effective,Anand M.,Closed
CAPA-0033,DEV-0037,BCH-2023-0755,Roasted Corn,Line E,2025-05-27 00:00:00,May-2025,Preventive Action,Batch placed on hold; re-test on retained sample; released after confirmation,Supplier qualification review; monthly CoA audit added to incoming QC protocol,Ramesh K.,2025-06-26 00:00:00,2025-06-24 00:00:00,28,30,Yes,Effective,Sagar A.,Closed
CAPA-0034,DEV-0038,BCH-2023-0560,Tapioca Crisps,Line B,2024-06-10 00:00:00,Jun-2024,Process Improvement,Equipment recalibrated; verification run conducted before resuming production,Preventive maintenance frequency increased from semi-annual to quarterly,Priya S.,2024-06-24 00:00:00,2024-06-21 00:00:00,11,14,Yes,Partially Effective,Divya N.,Closed
CAPA-0035,DEV-0039,BCH-2023-0563,Roasted Corn,Line E,2024-06-13 00:00:00,Jun-2024,Supplier Development Action,Analyst retrained on SOP; competency assessment passed,SOP revised with mandatory double-check; training matrix updated for all QC staff,Anand M.,2024-06-20 00:00:00,2024-06-17 00:00:00,4,7,Yes,Pending Verification,Karthik V.,Open
CAPA-0036,DEV-0040,BCH-2022-0385,Jackfruit Chips,Line A,2023-09-16 00:00:00,Sep-2023,Immediate Corrective Action,Process parameter adjusted; 3 consecutive conforming batches verified,SPC chart implemented for this parameter; daily trending review added,Sagar A.,2023-09-30 00:00:00,2023-09-28 00:00:00,12,14,Yes,Effective,Meena R.,Closed
CAPA-0037,DEV-0042,BCH-2024-0874,Okra Chips,Line D,2025-12-15 00:00:00,Dec-2025,Root Cause Elimination,Supplier notified; incoming lot quarantined; alternative lot sourced,Enhanced environmental monitoring — daily swabs for 30 days post-event,Divya N.,2025-12-22 00:00:00,2025-12-18 00:00:00,3,7,Yes,Effective,Suresh B.,Closed
CAPA-0038,DEV-0043,BCH-2023-0636,Chickpea Snacks,Line F,2024-11-01 00:00:00,Oct-2024,Preventive Action,Immediate deep clean conducted; re-swab showed satisfactory result,Training refresher scheduled for all shifts; competency re-assessment within 30 days,Karthik V.,2024-11-15 00:00:00,2024-11-12 00:00:00,11,14,Yes,Effective,Ramesh K.,Closed
CAPA-0039,DEV-0044,BCH-2023-0431,Masala Peanuts,Line E,2023-11-24 00:00:00,Nov-2023,Process Improvement,BMR template revised; mandatory dual-sign-off added for critical entries,HACCP plan reviewed; critical limit tightened by 10%; new alert limit introduced,Meena R.,2023-12-08 00:00:00,2023-12-13 00:00:00,19,14,No,Partially Effective,Priya S.,Closed
CAPA-0040,DEV-0045,BCH-2024-1031,Masala Peanuts,Line E,2026-08-25 00:00:00,Aug-2026,Supplier Development Action,PM schedule updated; overdue maintenance completed within 24 hours,Equipment replaced with newer model; IQ/OQ/PQ validation completed,Suresh B.,2026-09-08 00:00:00,2026-09-05 00:00:00,11,14,Yes,Pending Verification,Anand M.,Open
CAPA-0041,DEV-0046,BCH-2023-0493,Banana Chips,Line A,2024-02-27 00:00:00,Feb-2024,Immediate Corrective Action,Batch placed on hold; re-test on retained sample; released after confirmation,Supplier qualification review; monthly CoA audit added to incoming QC protocol,Ramesh K.,2024-03-12 00:00:00,2024-03-11 00:00:00,13,14,Yes,Effective,Sagar A.,Closed
CAPA-0042,DEV-0047,BCH-2023-0817,Jackfruit Chips,Line A,2025-09-14 00:00:00,Sep-2025,Root Cause Elimination,Equipment recalibrated; verification run conducted before resuming production,Preventive maintenance frequency increased from semi-annual to quarterly,Priya S.,2025-09-28 00:00:00,2025-10-06 00:00:00,22,14,No,Effective,Divya N.,Closed
CAPA-0043,DEV-0049,BCH-2024-0919,Masala Peanuts,Line A,2026-02-23 00:00:00,Feb-2026,Preventive Action,Analyst retrained on SOP; competency assessment passed,SOP revised with mandatory double-check; training matrix updated for all QC staff,Anand M.,2026-03-09 00:00:00,2026-03-09 00:00:00,14,14,Yes,Effective,Karthik V.,Closed
CAPA-0044,DEV-0050,BCH-2024-1205,Banana Chips,Line E,2027-07-03 00:00:00,Jul-2027,Process Improvement,Process parameter adjusted; 3 consecutive conforming batches verified,SPC chart implemented for this parameter; daily trending review added,Sagar A.,2027-07-17 00:00:00,2027-07-18 00:00:00,15,14,No,Partially Effective,Meena R.,Closed
CAPA-0045,DEV-0051,BCH-2022-0179,Roasted Corn,Line E,2022-10-18 00:00:00,Oct-2022,Supplier Development Action,Supplier notified; incoming lot quarantined; alternative lot sourced,Enhanced environmental monitoring — daily swabs for 30 days post-event,Divya N.,2022-11-01 00:00:00,2022-10-27 00:00:00,9,14,Yes,Pending Verification,Suresh B.,Open
CAPA-0046,DEV-0052,BCH-2023-0587,Roasted Corn,Line E,2024-08-05 00:00:00,Aug-2024,Immediate Corrective Action,Immediate deep clean conducted; re-swab showed satisfactory result,Training refresher scheduled for all shifts; competency re-assessment within 30 days,Karthik V.,2024-08-19 00:00:00,2024-08-17 00:00:00,12,14,Yes,Effective,Ramesh K.,Closed
CAPA-0047,DEV-0053,BCH-2024-1230,Sweet Potato Chips,Line F,2027-08-12 00:00:00,Aug-2027,Root Cause Elimination,BMR template revised; mandatory dual-sign-off added for critical entries,HACCP plan reviewed; critical limit tightened by 10%; new alert limit introduced,Meena R.,2027-08-26 00:00:00,2027-08-29 00:00:00,17,14,No,Effective,Priya S.,Closed
CAPA-0048,DEV-0054,BCH-2024-1041,Jackfruit Chips,Line C,2026-09-15 00:00:00,Sep-2026,Preventive Action,PM schedule updated; overdue maintenance completed within 24 hours,Equipment replaced with newer model; IQ/OQ/PQ validation completed,Suresh B.,2026-09-29 00:00:00,2026-09-28 00:00:00,13,14,Yes,Effective,Anand M.,Closed
CAPA-0049,DEV-0055,BCH-2022-0319,Masala Peanuts,Line A,2023-06-15 00:00:00,Jun-2023,Process Improvement,Batch placed on hold; re-test on retained sample; released after confirmation,Supplier qualification review; monthly CoA audit added to incoming QC protocol,Ramesh K.,2023-06-22 00:00:00,2023-06-18 00:00:00,3,7,Yes,Partially Effective,Sagar A.,Closed
CAPA-0050,DEV-0056,BCH-2023-0568,Tapioca Crisps,Line D,2024-06-23 00:00:00,Jun-2024,Supplier Development Action,Equipment recalibrated; verification run conducted before resuming production,Preventive maintenance frequency increased from semi-annual to quarterly,Priya S.,2024-07-07 00:00:00,2024-07-07 00:00:00,14,14,Yes,Pending Verification,Divya N.,Open
CAPA-0051,DEV-0057,BCH-2024-1110,Sweet Potato Chips,Line F,2027-01-24 00:00:00,Jan-2027,Immediate Corrective Action,Analyst retrained on SOP; competency assessment passed,SOP revised with mandatory double-check; training matrix updated for all QC staff,Anand M.,2027-02-23 00:00:00,2027-03-01 00:00:00,36,30,No,Effective,Karthik V.,Closed
CAPA-0052,DEV-0058,BCH-2022-0144,Tapioca Crisps,Line F,2022-08-22 00:00:00,Aug-2022,Root Cause Elimination,Process parameter adjusted; 3 consecutive conforming batches verified,SPC chart implemented for this parameter; daily trending review added,Sagar A.,2022-09-05 00:00:00,2022-09-07 00:00:00,16,14,No,Effective,Meena R.,Closed
CAPA-0053,DEV-0060,BCH-2023-0712,Tapioca Crisps,Line D,2025-03-18 00:00:00,Mar-2025,Preventive Action,Supplier notified; incoming lot quarantined; alternative lot sourced,Enhanced environmental monitoring — daily swabs for 30 days post-event,Divya N.,2025-04-01 00:00:00,2025-04-04 00:00:00,17,14,No,Effective,Suresh B.,Closed
CAPA-0054,DEV-0061,BCH-2024-0973,Banana Chips,Line A,2026-05-21 00:00:00,May-2026,Process Improvement,Immediate deep clean conducted; re-swab showed satisfactory result,Training refresher scheduled for all shifts; competency re-assessment within 30 days,Karthik V.,2026-05-28 00:00:00,2026-05-27 00:00:00,6,7,Yes,Partially Effective,Ramesh K.,Closed
CAPA-0055,DEV-0062,BCH-2024-1061,Banana Chips,Line E,2026-10-18 00:00:00,Oct-2026,Supplier Development Action,BMR template revised; mandatory dual-sign-off added for critical entries,HACCP plan reviewed; critical limit tightened by 10%; new alert limit introduced,Meena R.,2026-11-01 00:00:00,2026-10-31 00:00:00,13,14,Yes,Pending Verification,Priya S.,Open
CAPA-0056,DEV-0063,BCH-2023-0612,Chickpea Snacks,Line F,2024-09-21 00:00:00,Sep-2024,Immediate Corrective Action,PM schedule updated; overdue maintenance completed within 24 hours,Equipment replaced with newer model; IQ/OQ/PQ validation completed,Suresh B.,2024-10-21 00:00:00,2024-10-26 00:00:00,35,30,No,Effective,Anand M.,Closed
CAPA-0057,DEV-0064,BCH-2024-0968,Tapioca Crisps,Line B,2026-05-14 00:00:00,May-2026,Root Cause Elimination,Batch placed on hold; re-test on retained sample; released after confirmation,Supplier qualification review; monthly CoA audit added to incoming QC protocol,Ramesh K.,2026-05-28 00:00:00,2026-05-29 00:00:00,15,14,No,Effective,Sagar A.,Closed
CAPA-0058,DEV-0066,BCH-2024-1019,Roasted Corn,Line E,2026-08-03 00:00:00,Aug-2026,Preventive Action,Equipment recalibrated; verification run conducted before resuming production,Preventive maintenance frequency increased from semi-annual to quarterly,Priya S.,2026-08-10 00:00:00,2026-08-10 00:00:00,7,7,Yes,Effective,Divya N.,Closed
CAPA-0059,DEV-0067,BCH-2022-0326,Sweet Potato Chips,Line B,2023-06-23 00:00:00,Jun-2023,Process Improvement,Analyst retrained on SOP; competency assessment passed,SOP revised with mandatory double-check; training matrix updated for all QC staff,Anand M.,2023-07-07 00:00:00,2023-07-15 00:00:00,22,14,No,Partially Effective,Karthik V.,Closed
CAPA-0060,DEV-0068,BCH-2022-0224,Tapioca Crisps,Line B,2023-01-04 00:00:00,Jan-2023,Supplier Development Action,Process parameter adjusted; 3 consecutive conforming batches verified,SPC chart implemented for this parameter; daily trending review added,Sagar A.,2023-01-18 00:00:00,2023-01-17 00:00:00,13,14,Yes,Pending Verification,Meena R.,Open
CAPA-0061,DEV-0069,BCH-2022-0110,Sweet Potato Chips,Line B,2022-06-26 00:00:00,Jun-2022,Immediate Corrective Action,Supplier notified; incoming lot quarantined; alternative lot sourced,Enhanced environmental monitoring — daily swabs for 30 days post-event,Divya N.,2022-07-10 00:00:00,2022-07-08 00:00:00,12,14,Yes,Effective,Suresh B.,Closed
CAPA-0062,DEV-0070,BCH-2024-0906,Okra Chips,Line F,2026-02-05 00:00:00,Feb-2026,Root Cause Elimination,Immediate deep clean conducted; re-swab showed satisfactory result,Training refresher scheduled for all shifts; competency re-assessment within 30 days,Karthik V.,2026-02-12 00:00:00,2026-02-09 00:00:00,4,7,Yes,Effective,Ramesh K.,Closed
CAPA-0063,DEV-0071,BCH-2023-0438,Sweet Potato Chips,Line F,2023-12-08 00:00:00,Dec-2023,Preventive Action,BMR template revised; mandatory dual-sign-off added for critical entries,HACCP plan reviewed; critical limit tightened by 10%; new alert limit introduced,Meena R.,2023-12-22 00:00:00,2023-12-17 00:00:00,9,14,Yes,Effective,Priya S.,Closed
CAPA-0064,DEV-0072,BCH-2023-0559,Masala Peanuts,Line A,2024-06-09 00:00:00,Jun-2024,Process Improvement,PM schedule updated; overdue maintenance completed within 24 hours,Equipment replaced with newer model; IQ/OQ/PQ validation completed,Suresh B.,2024-06-23 00:00:00,2024-06-23 00:00:00,14,14,Yes,Partially Effective,Anand M.,Closed
CAPA-0065,DEV-0073,BCH-2022-0094,Sweet Potato Chips,Line D,2022-05-30 00:00:00,May-2022,Supplier Development Action,Batch placed on hold; re-test on retained sample; released after confirmation,Supplier qualification review; monthly CoA audit added to incoming QC protocol,Ramesh K.,2022-06-13 00:00:00,2022-06-18 00:00:00,19,14,No,Pending Verification,Sagar A.,Open
CAPA-0066,DEV-0074,BCH-2022-0268,Chickpea Snacks,Line D,2023-03-20 00:00:00,Mar-2023,Immediate Corrective Action,Equipment recalibrated; verification run conducted before resuming production,Preventive maintenance frequency increased from semi-annual to quarterly,Priya S.,2023-04-03 00:00:00,2023-04-05 00:00:00,16,14,No,Effective,Divya N.,Closed
CAPA-0067,DEV-0075,BCH-2023-0837,Banana Chips,Line C,2025-10-17 00:00:00,Oct-2025,Root Cause Elimination,Analyst retrained on SOP; competency assessment passed,SOP revised with mandatory double-check; training matrix updated for all QC staff,Anand M.,2025-10-31 00:00:00,2025-10-30 00:00:00,13,14,Yes,Effective,Karthik V.,Closed
CAPA-0068,DEV-0076,BCH-2023-0669,Banana Chips,Line C,2025-01-11 00:00:00,Jan-2025,Preventive Action,Process parameter adjusted; 3 consecutive conforming batches verified,SPC chart implemented for this parameter; daily trending review added,Sagar A.,2025-01-25 00:00:00,2025-01-27 00:00:00,16,14,No,Effective,Meena R.,Closed
CAPA-0069,DEV-0077,BCH-2023-0756,Chickpea Snacks,Line F,2025-05-28 00:00:00,May-2025,Process Improvement,Supplier notified; incoming lot quarantined; alternative lot sourced,Enhanced environmental monitoring — daily swabs for 30 days post-event,Divya N.,2025-06-11 00:00:00,2025-06-09 00:00:00,12,14,Yes,Partially Effective,Suresh B.,Closed
CAPA-0070,DEV-0079,BCH-2024-0945,Jackfruit Chips,Line C,2026-04-06 00:00:00,Apr-2026,Supplier Development Action,Immediate deep clean conducted; re-swab showed satisfactory result,Training refresher scheduled for all shifts; competency re-assessment within 30 days,Karthik V.,2026-05-06 00:00:00,2026-05-08 00:00:00,32,30,No,Pending Verification,Ramesh K.,Open
CAPA-0071,DEV-0080,BCH-2024-1113,Jackfruit Chips,Line C,2027-01-27 00:00:00,Jan-2027,Immediate Corrective Action,BMR template revised; mandatory dual-sign-off added for critical entries,HACCP plan reviewed; critical limit tightened by 10%; new alert limit introduced,Meena R.,2027-02-10 00:00:00,2027-02-07 00:00:00,11,14,Yes,Effective,Priya S.,Closed
CAPA-0072,DEV-0081,BCH-2023-0656,Tapioca Crisps,Line B,2024-12-06 00:00:00,Dec-2024,Root Cause Elimination,PM schedule updated; overdue maintenance completed within 24 hours,Equipment replaced with newer model; IQ/OQ/PQ validation completed,Suresh B.,2024-12-20 00:00:00,2024-12-16 00:00:00,10,14,Yes,Effective,Anand M.,Closed
CAPA-0073,DEV-0082,BCH-2024-1023,Masala Peanuts,Line C,2026-08-15 00:00:00,Aug-2026,Preventive Action,Batch placed on hold; re-test on retained sample; released after confirmation,Supplier qualification review; monthly CoA audit added to incoming QC protocol,Ramesh K.,2026-08-29 00:00:00,2026-09-05 00:00:00,21,14,No,Effective,Sagar A.,Closed
CAPA-0074,DEV-0083,BCH-2023-0582,Sweet Potato Chips,Line F,2024-07-29 00:00:00,Jul-2024,Process Improvement,Equipment recalibrated; verification run conducted before resuming production,Preventive maintenance frequency increased from semi-annual to quarterly,Priya S.,2024-08-12 00:00:00,2024-08-07 00:00:00,9,14,Yes,Partially Effective,Divya N.,Closed
CAPA-0075,DEV-0084,BCH-2022-0095,Masala Peanuts,Line E,2022-05-31 00:00:00,May-2022,Supplier Development Action,Analyst retrained on SOP; competency assessment passed,SOP revised with mandatory double-check; training matrix updated for all QC staff,Anand M.,2022-06-14 00:00:00,2022-06-09 00:00:00,9,14,Yes,Pending Verification,Karthik V.,Open
CAPA-0076,DEV-0085,BCH-2024-1068,Chickpea Snacks,Line F,2026-11-04 00:00:00,Nov-2026,Immediate Corrective Action,Process parameter adjusted; 3 consecutive conforming batches verified,SPC chart implemented for this parameter; daily trending review added,Sagar A.,2026-11-18 00:00:00,2026-11-20 00:00:00,16,14,No,Effective,Meena R.,Closed
CAPA-0077,DEV-0086,BCH-2024-0950,Sweet Potato Chips,Line B,2026-04-12 00:00:00,Apr-2026,Root Cause Elimination,Supplier notified; incoming lot quarantined; alternative lot sourced,Enhanced environmental monitoring — daily swabs for 30 days post-event,Divya N.,2026-05-12 00:00:00,2026-05-16 00:00:00,34,30,No,Effective,Suresh B.,Closed
CAPA-0078,DEV-0087,BCH-2024-0933,Banana Chips,Line C,2026-03-12 00:00:00,Mar-2026,Preventive Action,Immediate deep clean conducted; re-swab showed satisfactory result,Training refresher scheduled for all shifts; competency re-assessment within 30 days,Karthik V.,2026-04-11 00:00:00,2026-04-20 00:00:00,39,30,No,Effective,Ramesh K.,Closed
CAPA-0079,DEV-0088,BCH-2024-1106,Okra Chips,Line B,2027-01-16 00:00:00,Jan-2027,Process Improvement,BMR template revised; mandatory dual-sign-off added for critical entries,HACCP plan reviewed; critical limit tightened by 10%; new alert limit introduced,Meena R.,2027-02-15 00:00:00,2027-02-19 00:00:00,34,30,No,Partially Effective,Priya S.,Closed
