Dev_ID,Batch_ID,Product,Production_Line,Deviation_Date,Month_Year,Quarter,Dev_Type,Parameter_Affected,Root_Cause_Category,Root_Cause_Description,Severity,Detected_By,Status,CAPA_Raised
DEV-0050,BCH-2024-1205,Banana Chips,Line E,2027-07-02 00:00:00,Jul-2027,Q3-2027,Physicochemical OOS,Yeast & Mold,Process Parameter Deviation,Conveyor speed inconsistency caused uneven frying,Major,QC Supervisor,Closed — Effective,Yes
DEV-0051,BCH-2022-0179,Roasted Corn,Line E,2022-10-17 00:00:00,Oct-2022,Q4-2022,Documentation Error,pH,Equipment Failure,pH meter calibration drift — monthly check,Major,Production Operator,Closed — Effective,Yes
DEV-0052,BCH-2023-0587,Roasted Corn,Line E,2024-08-04 00:00:00,Aug-2024,Q3-2024,Process Deviation,Moisture%,Human Error,Analyst used expired reagent for TPC,Major,Internal Auditor,Closed — Effective,Yes
DEV-0053,BCH-2024-1230,Sweet Potato Chips,Line F,2027-08-11 00:00:00,Aug-2027,Q3-2027,Equipment Malfunction,Purity%,Environmental Control Failure,Poor sanitation — environmental swab positive,Major,Automated Alarm,Closed — Effective,Yes
DEV-0054,BCH-2024-1041,Jackfruit Chips,Line C,2026-09-14 00:00:00,Sep-2026,Q3-2026,Environmental Excursion,Coliform,Supplier Non-conformance,Supplier changed manufacturing site without notification,Major,External Audit,Closed — Effective,Yes
DEV-0055,BCH-2022-0319,Masala Peanuts,Line A,2023-06-14 00:00:00,Jun-2023,Q2-2023,Raw Material Non-conformance,Process Temp,Maintenance Lapse,Filter replacement overdue — micro contamination risk,Critical,Customer Complaint,CAPA Raised,Yes
DEV-0056,BCH-2023-0568,Tapioca Crisps,Line D,2024-06-22 00:00:00,Jun-2024,Q2-2024,Packaging Defect,Packaging Seal,Training Gap,New analyst performed test without adequate supervision,Major,Environmental Swab,Closed — Effective,Yes
DEV-0057,BCH-2024-1110,Sweet Potato Chips,Line F,2027-01-23 00:00:00,Jan-2027,Q1-2027,Microbial OOS,TPC,Raw Material Issue,Moisture in raw ingredients elevated at goods-in,Minor,QC Analyst,Closed — Effective,Yes
DEV-0058,BCH-2022-0144,Tapioca Crisps,Line F,2022-08-21 00:00:00,Aug-2022,Q3-2022,Physicochemical OOS,Yeast & Mold,Process Parameter Deviation,Process water pH not adjusted pre-use,Major,QC Supervisor,Closed — Effective,Yes
DEV-0059,BCH-2023-0667,Roasted Corn,Line A,2025-01-07 00:00:00,Jan-2025,Q1-2025,Documentation Error,pH,Equipment Failure,Conveyor belt slippage — unplanned downtime,Minor,Production Operator,Closed — Effective,No
DEV-0060,BCH-2023-0712,Tapioca Crisps,Line D,2025-03-17 00:00:00,Mar-2025,Q1-2025,Process Deviation,Moisture%,Human Error,Wrong product code entered in LIMS,Major,Internal Auditor,Closed — Effective,Yes
DEV-0061,BCH-2024-0973,Banana Chips,Line A,2026-05-20 00:00:00,May-2026,Q2-2026,Equipment Malfunction,Purity%,Environmental Control Failure,AHU malfunction — ambient temp excursion,Critical,Automated Alarm,CAPA Raised,Yes
DEV-0062,BCH-2024-1061,Banana Chips,Line E,2026-10-17 00:00:00,Oct-2026,Q4-2026,Environmental Excursion,Coliform,Supplier Non-conformance,Packaging material lot with sub-spec barrier properties,Major,External Audit,Closed — Pending Verification,Yes
DEV-0063,BCH-2023-0612,Chickpea Snacks,Line F,2024-09-20 00:00:00,Sep-2024,Q3-2024,Raw Material Non-conformance,Process Temp,Maintenance Lapse,Preventive maintenance skipped during peak production,Minor,Customer Complaint,Closed — Effective,Yes
DEV-0064,BCH-2024-0968,Tapioca Crisps,Line B,2026-05-13 00:00:00,May-2026,Q2-2026,Packaging Defect,Packaging Seal,Training Gap,Incorrect interpretation of borderline result,Major,Environmental Swab,Closed — Effective,Yes
DEV-0065,BCH-2023-0657,Jackfruit Chips,Line C,2024-12-12 00:00:00,Dec-2024,Q4-2024,Microbial OOS,TPC,Raw Material Issue,Contaminated raw material lot passed incoming QC,Minor,QC Analyst,CAPA Raised,No
DEV-0066,BCH-2024-1019,Roasted Corn,Line E,2026-08-02 00:00:00,Aug-2026,Q3-2026,Physicochemical OOS,Yeast & Mold,Process Parameter Deviation,Frying temp dropped below spec during shift changeover,Critical,QC Supervisor,Closed — Effective,Yes
DEV-0067,BCH-2022-0326,Sweet Potato Chips,Line B,2023-06-22 00:00:00,Jun-2023,Q2-2023,Documentation Error,pH,Equipment Failure,Moisture analyser heating element degraded,Major,Production Operator,Closed — Pending Verification,Yes
DEV-0068,BCH-2022-0224,Tapioca Crisps,Line B,2023-01-03 00:00:00,Jan-2023,Q1-2023,Process Deviation,Moisture%,Human Error,Incorrect sample size for physicochemical test,Major,Internal Auditor,Closed — Effective,Yes
DEV-0069,BCH-2022-0110,Sweet Potato Chips,Line B,2022-06-25 00:00:00,Jun-2022,Q2-2022,Equipment Malfunction,Purity%,Environmental Control Failure,Condensation in packaging area,Major,Automated Alarm,Closed — Pending Verification,Yes
DEV-0070,BCH-2024-0906,Okra Chips,Line F,2026-02-04 00:00:00,Feb-2026,Q1-2026,Environmental Excursion,Coliform,Supplier Non-conformance,Batch recall from supplier due to cross-contamination,Critical,External Audit,CAPA Raised,Yes
DEV-0071,BCH-2023-0438,Sweet Potato Chips,Line F,2023-12-07 00:00:00,Dec-2023,Q4-2023,Raw Material Non-conformance,Process Temp,Maintenance Lapse,PM overdue on critical pH instrument,Major,Customer Complaint,CAPA Raised,Yes
DEV-0072,BCH-2023-0559,Masala Peanuts,Line A,2024-06-08 00:00:00,Jun-2024,Q2-2024,Packaging Defect,Packaging Seal,Training Gap,SOP revision not communicated to night shift,Major,Environmental Swab,Closed — Effective,Yes
DEV-0073,BCH-2022-0094,Sweet Potato Chips,Line D,2022-05-29 00:00:00,May-2022,Q2-2022,Microbial OOS,TPC,Raw Material Issue,Supplier batch YM count borderline on CoA,Major,QC Analyst,Closed — Effective,Yes
DEV-0074,BCH-2022-0268,Chickpea Snacks,Line D,2023-03-19 00:00:00,Mar-2023,Q1-2023,Physicochemical OOS,Yeast & Mold,Process Parameter Deviation,Oil temperature overshoot — thermostat drift,Major,QC Supervisor,Closed — Effective,Yes
DEV-0075,BCH-2023-0837,Banana Chips,Line C,2025-10-16 00:00:00,Oct-2025,Q4-2025,Documentation Error,pH,Equipment Failure,Packaging seal integrity failure,Major,Production Operator,Closed — Pending Verification,Yes
DEV-0076,BCH-2023-0669,Banana Chips,Line C,2025-01-10 00:00:00,Jan-2025,Q1-2025,Process Deviation,Moisture%,Human Error,BMR entry not completed contemporaneously,Major,Internal Auditor,Closed — Effective,Yes
DEV-0077,BCH-2023-0756,Chickpea Snacks,Line F,2025-05-27 00:00:00,May-2025,Q2-2025,Equipment Malfunction,Purity%,Environmental Control Failure,Cold storage compressor failure — temp excursion,Major,Automated Alarm,CAPA Raised,Yes
DEV-0078,BCH-2024-1064,Tapioca Crisps,Line B,2026-10-24 00:00:00,Oct-2026,Q4-2026,Environmental Excursion,Coliform,Supplier Non-conformance,Incorrect labelling on raw material bags,Minor,External Audit,Closed — Effective,No
DEV-0079,BCH-2024-0945,Jackfruit Chips,Line C,2026-04-05 00:00:00,Apr-2026,Q2-2026,Raw Material Non-conformance,Process Temp,Maintenance Lapse,Equipment MTTR exceeded SLA — production delay,Minor,Customer Complaint,Closed — Effective,Yes
DEV-0080,BCH-2024-1113,Jackfruit Chips,Line C,2027-01-26 00:00:00,Jan-2027,Q1-2027,Packaging Defect,Packaging Seal,Training Gap,Training records incomplete for promoted QC officer,Major,Environmental Swab,Closed — Pending Verification,Yes
DEV-0081,BCH-2023-0656,Tapioca Crisps,Line B,2024-12-05 00:00:00,Dec-2024,Q4-2024,Microbial OOS,TPC,Raw Material Issue,Incoming RM lot TPC exceeded baseline by 2x,Major,QC Analyst,Closed — Effective,Yes
DEV-0082,BCH-2024-1023,Masala Peanuts,Line C,2026-08-14 00:00:00,Aug-2026,Q3-2026,Physicochemical OOS,Yeast & Mold,Process Parameter Deviation,Blanching time reduced due to PLC timing error,Major,QC Supervisor,Closed — Effective,Yes
DEV-0083,BCH-2023-0582,Sweet Potato Chips,Line F,2024-07-28 00:00:00,Jul-2024,Q3-2024,Documentation Error,pH,Equipment Failure,Autoclave pressure sensor malfunction,Major,Production Operator,Closed — Effective,Yes
DEV-0084,BCH-2022-0095,Masala Peanuts,Line E,2022-05-30 00:00:00,May-2022,Q2-2022,Process Deviation,Moisture%,Human Error,Test skipped — analyst assumed pass from previous batch,Major,Internal Auditor,Closed — Pending Verification,Yes
DEV-0085,BCH-2024-1068,Chickpea Snacks,Line F,2026-11-03 00:00:00,Nov-2026,Q4-2026,Equipment Malfunction,Purity%,Environmental Control Failure,Pest ingress — production line suspended,Major,Automated Alarm,Closed — Effective,Yes
DEV-0086,BCH-2024-0950,Sweet Potato Chips,Line B,2026-04-11 00:00:00,Apr-2026,Q2-2026,Environmental Excursion,Coliform,Supplier Non-conformance,Supplier CoA values inconsistent with in-house test,Minor,External Audit,CAPA Raised,Yes
DEV-0087,BCH-2024-0933,Banana Chips,Line C,2026-03-11 00:00:00,Mar-2026,Q1-2026,Raw Material Non-conformance,Process Temp,Maintenance Lapse,Calibration certificate expired — instrument quarantined,Minor,Customer Complaint,Closed — Effective,Yes
DEV-0088,BCH-2024-1106,Okra Chips,Line B,2027-01-15 00:00:00,Jan-2027,Q1-2027,Packaging Defect,Packaging Seal,Training Gap,Operator unaware of updated critical limit,Minor,Environmental Swab,Open,Yes
DEV-0089,BCH-2022-0101,Banana Chips,Line E,2022-06-12 00:00:00,Jun-2022,Q2-2022,Microbial OOS,TPC,Raw Material Issue,RM purity below specification — supplier fault,Major,QC Analyst,Closed — Effective,Yes
DEV-0090,BCH-2022-0244,Chickpea Snacks,Line D,2023-02-04 00:00:00,Feb-2023,Q1-2023,Physicochemical OOS,Yeast & Mold,Process Parameter Deviation,Conveyor speed inconsistency caused uneven frying,Minor,QC Supervisor,Under Investigation,Yes
DEV-0091,BCH-2023-0809,Jackfruit Chips,Line E,2025-09-01 00:00:00,Aug-2025,Q3-2025,Documentation Error,pH,Equipment Failure,pH meter calibration drift — monthly check,Major,Production Operator,Closed — Effective,Yes
DEV-0092,BCH-2023-0630,Sweet Potato Chips,Line F,2024-10-23 00:00:00,Oct-2024,Q4-2024,Process Deviation,Moisture%,Human Error,Analyst used expired reagent for TPC,Major,Internal Auditor,Closed — Effective,Yes
DEV-0093,BCH-2024-1247,Masala Peanuts,Line E,2027-09-18 00:00:00,Sep-2027,Q3-2027,Equipment Malfunction,Purity%,Environmental Control Failure,Poor sanitation — environmental swab positive,Major,Automated Alarm,Closed — Effective,Yes
DEV-0094,BCH-2022-0133,Banana Chips,Line A,2022-08-06 00:00:00,Aug-2022,Q3-2022,Environmental Excursion,Coliform,Supplier Non-conformance,Supplier changed manufacturing site without notification,Minor,External Audit,CAPA Raised,Yes
DEV-0095,BCH-2023-0421,Banana Chips,Line A,2023-11-09 00:00:00,Nov-2023,Q4-2023,Raw Material Non-conformance,Process Temp,Maintenance Lapse,Filter replacement overdue — micro contamination risk,Major,Customer Complaint,Closed — Pending Verification,Yes
DEV-0096,BCH-2023-0790,Sweet Potato Chips,Line D,2025-07-26 00:00:00,Jul-2025,Q3-2025,Packaging Defect,Packaging Seal,Training Gap,New analyst performed test without adequate supervision,Critical,Environmental Swab,CAPA Raised,Yes
DEV-0097,BCH-2023-0439,Masala Peanuts,Line A,2023-12-10 00:00:00,Dec-2023,Q4-2023,Microbial OOS,TPC,Raw Material Issue,Moisture in raw ingredients elevated at goods-in,Major,QC Analyst,Closed — Effective,Yes
DEV-0098,BCH-2023-0565,Banana Chips,Line A,2024-06-18 00:00:00,Jun-2024,Q2-2024,Physicochemical OOS,Yeast & Mold,Process Parameter Deviation,Process water pH not adjusted pre-use,Major,QC Supervisor,Closed — Pending Verification,Yes
DEV-0099,BCH-2024-1119,Masala Peanuts,Line C,2027-02-05 00:00:00,Feb-2027,Q1-2027,Documentation Error,pH,Equipment Failure,Conveyor belt slippage — unplanned downtime,Major,Production Operator,CAPA Raised,Yes
DEV-0100,BCH-2023-0834,Okra Chips,Line F,2025-10-11 00:00:00,Oct-2025,Q4-2025,Process Deviation,Moisture%,Human Error,Wrong product code entered in LIMS,Minor,Internal Auditor,Closed — Effective,Yes
DEV-0101,BCH-2023-0591,Masala Peanuts,Line C,2024-08-11 00:00:00,Aug-2024,Q3-2024,Equipment Malfunction,Purity%,Environmental Control Failure,AHU malfunction — ambient temp excursion,Major,Automated Alarm,Closed — Effective,Yes
DEV-0102,BCH-2023-0811,Roasted Corn,Line A,2025-09-03 00:00:00,Sep-2025,Q3-2025,Environmental Excursion,Coliform,Supplier Non-conformance,Packaging material lot with sub-spec barrier properties,Major,External Audit,Closed — Effective,Yes
DEV-0103,BCH-2022-0221,Banana Chips,Line E,2022-12-27 00:00:00,Dec-2022,Q4-2022,Raw Material Non-conformance,Process Temp,Maintenance Lapse,Preventive maintenance skipped during peak production,Major,Customer Complaint,Closed — Effective,Yes
DEV-0104,BCH-2024-1137,Jackfruit Chips,Line C,2027-03-05 00:00:00,Mar-2027,Q1-2027,Packaging Defect,Packaging Seal,Training Gap,Incorrect interpretation of borderline result,Major,Environmental Swab,Closed — Effective,Yes
DEV-0105,BCH-2024-1182,Sweet Potato Chips,Line F,2027-05-20 00:00:00,May-2027,Q2-2027,Microbial OOS,TPC,Raw Material Issue,Contaminated raw material lot passed incoming QC,Major,QC Analyst,Closed — Pending Verification,Yes
DEV-0106,BCH-2024-1024,Tapioca Crisps,Line D,2026-08-15 00:00:00,Aug-2026,Q3-2026,Physicochemical OOS,Yeast & Mold,Process Parameter Deviation,Frying temp dropped below spec during shift changeover,Major,QC Supervisor,CAPA Raised,Yes
DEV-0107,BCH-2022-0384,Tapioca Crisps,Line F,2023-09-14 00:00:00,Sep-2023,Q3-2023,Documentation Error,pH,Equipment Failure,Moisture analyser heating element degraded,Minor,Production Operator,Closed — Effective,Yes
DEV-0108,BCH-2024-0935,Masala Peanuts,Line E,2026-03-19 00:00:00,Mar-2026,Q1-2026,Process Deviation,Moisture%,Human Error,Incorrect sample size for physicochemical test,Major,Internal Auditor,Closed — Effective,Yes
DEV-0109,BCH-2024-1154,Okra Chips,Line B,2027-04-04 00:00:00,Apr-2027,Q2-2027,Equipment Malfunction,Purity%,Environmental Control Failure,Condensation in packaging area,Major,Automated Alarm,Closed — Pending Verification,Yes
DEV-0110,BCH-2024-1225,Jackfruit Chips,Line A,2027-07-29 00:00:00,Jul-2027,Q3-2027,Environmental Excursion,Coliform,Supplier Non-conformance,Batch recall from supplier due to cross-contamination,Minor,External Audit,Closed — Effective,Yes
DEV-0111,BCH-2023-0556,Chickpea Snacks,Line D,2024-06-03 00:00:00,Jun-2024,Q2-2024,Raw Material Non-conformance,Process Temp,Maintenance Lapse,PM overdue on critical pH instrument,Major,Customer Complaint,CAPA Raised,Yes
DEV-0112,BCH-2023-0589,Banana Chips,Line A,2024-08-07 00:00:00,Aug-2024,Q3-2024,Packaging Defect,Packaging Seal,Training Gap,SOP revision not communicated to night shift,Major,Environmental Swab,Closed — Effective,Yes
DEV-0113,BCH-2022-0261,Banana Chips,Line C,2023-03-06 00:00:00,Mar-2023,Q1-2023,Microbial OOS,TPC,Raw Material Issue,Supplier batch YM count borderline on CoA,Major,QC Analyst,CAPA Raised,Yes
DEV-0114,BCH-2023-0649,Jackfruit Chips,Line A,2024-11-21 00:00:00,Nov-2024,Q4-2024,Physicochemical OOS,Yeast & Mold,Process Parameter Deviation,Oil temperature overshoot — thermostat drift,Critical,QC Supervisor,CAPA Raised,Yes
DEV-0115,BCH-2023-0750,Sweet Potato Chips,Line F,2025-05-17 00:00:00,May-2025,Q2-2025,Documentation Error,pH,Equipment Failure,Packaging seal integrity failure,Minor,Production Operator,Closed — Pending Verification,Yes
